"V1","V2","V3"
2274.579472,337.5124241,1270.92373
2283.825689,332.9947541,1265.453151
2273.539465,336.1612555,1285.14082
2281.248007,338.7426299,1265.983409
2282.410628,333.7974294,1313.169126
2278.040431,344.189099,1351.076624
2278.410597,333.7902637,1272.915251
2274.168825,340.1712325,1277.601635
2279.196298,340.955382,1283.77136
2280.210101,335.5713079,1262.358165
2280.897667,335.7708782,1258.263986
2279.511224,333.489734,1277.286638
2283.093653,332.5640515,1294.342456
2273.718085,339.1166511,1293.445936
2278.01564,333.6635137,1282.319172
2291.58459419146,329.761056574558,1274.74416644565
2287.60423813864,331.416268475992,1312.89125207978
2287.05297603137,329.944627611813,1283.68967513898
2283.87124742247,331.331125060256,1291.48110734366
2285.14312336092,334.75335793014,1333.62056353132
2282.6150241464,331.183453785258,1276.91978419864
2280.98955617994,331.884088060214,1275.03244540553
2283.24494596859,331.783620392217,1270.29433554193
2287.64780457761,330.035999105701,1296.41308479035
2297.92679600654,330.291921358485,1337.26816082242
2281.55597700911,333.638183037748,1272.508385828
2279.34946955356,333.951870474476,1282.03283767536
2283.96973421282,331.187195424643,1274.96611904518
2283.06338840605,331.993333819483,1296.03523495944
2297.28733869718,329.329170449778,1292.69414841911
2280.08976147139,333.961610733926,1277.66229482308
2283.22350744003,331.362908536802,1278.85549237474
2284.15471404448,331.37841024904,1273.90212144174
2284.11584546364,332.144445059326,1264.52568359761
2276.39581250472,334.848156993763,1284.90987284685
2281.62000029094,334.54860223086,1266.02470020377
2286.36669490634,335.214725792798,1261.86396361647
2284.57314617135,333.277322778184,1261.91080179784
2282.05289919724,332.01137584688,1274.09886185698
2298.5276219353,328.541077734932,1313.91298467403
2287.3936408499,339.335818424786,1272.54714211593
2293.46117794239,329.352789645372,1294.35192365449
2289.78896341627,329.498328005764,1299.59100133061
2283.98592834779,331.180884338324,1294.44593649008
2277.92357576662,337.302106299287,1286.4301323999
2294.69396525013,332.057153750583,1270.44492153543
2285.65344845722,331.471081866019,1264.31841141918
2296.57956601211,336.302419349594,1279.68607552839
2283.96027539336,334.198173061625,1266.34829217208
2284.26456529703,331.660473584734,1267.51600824766
2279.57568563969,333.306096746159,1262.8333727668
2292.22362281201,329.418292408939,1281.30374016436
2283.06239651835,332.110373438599,1263.45033007503
2276.51410020678,333.656856767333,1278.37706345237
2277.75539010018,337.814575833737,1272.54514510303
2279.79101970832,333.727611553154,1263.47408864527
2286.416904252,334.846603687459,1261.54142136009
2287.6718501978,335.138691562468,1262.37153953873
2278.87364376107,337.213005646812,1278.8661409601
2300.69035543258,346.175713885359,1383.46007478023
2278.51756090684,338.428892068886,1309.24926086116
2279.05225546287,337.243882732486,1332.42233440707
2289.03993286847,331.049131439203,1264.28612640064
2282.02890363111,333.878318565903,1271.75162074432
2302.71856051584,336.230583837087,1297.81943755509
2281.96088127222,332.343302407118,1264.8406468345
2284.47276574198,331.024797995966,1269.13912404429
2290.44235005226,331.95306587885,1263.73950230155
2279.99433686585,332.948739168381,1272.54440998538
2279.25064348376,341.99910953939,1333.92962615377
2293.85633280422,329.129284549626,1290.58305109968
2287.73753189881,330.060042047316,1275.37385759045
2286.12927031207,330.181993787977,1277.76735487011
2282.29103805723,331.452093438181,1281.28643864992
2292.75028110903,329.117229029809,1302.78855606872
2286.789224526,330.418128333281,1295.59320385286
2281.58259145435,340.161332908306,1299.31791503212
2282.87253722916,334.219848240283,1266.17338984424
2283.90515972216,332.497254372114,1267.7362429069
2288.34830132839,336.801789550057,1264.43358069665
2293.12127363441,329.109708787756,1286.58747320116
2263.67608837251,333.998505974296,1293.53318712651
2285.89034316451,332.05403728128,1261.99678299423
2278.16197533954,333.829566302458,1277.67643421432
2297.03433404193,328.856388433989,1309.70614390073
2295.05096835194,330.337454666284,1275.91515489122
2279.9362424146,333.75244947114,1265.445001744
2285.18200986194,331.816342380877,1308.52084749268
2289.33453154143,334.751650340086,1263.37081899124
2289.22589605943,329.266926741665,1282.91883889277
2295.81059524245,331.823803678867,1273.80901798859
2305.91697504303,332.026896819393,1305.3404903543
2284.0793236564,333.322414121672,1261.11697654189
2277.3307745894,334.477081354758,1273.82092671893
2283.66390191083,331.246469943185,1291.73769919261
2279.50891332515,338.008137137889,1275.95814233319
2289.2937493283,329.689897199675,1273.96428634042
2281.52132638469,331.684595712318,1271.03818890529
2292.67589117478,335.283486529702,1269.11991808109
2283.67338441159,335.051091524328,1326.23685686269
2290.30197805016,331.560699519433,1264.28560223029
2290.9859367986,329.453733791177,1296.78292171975
2282.00303356448,333.721049476114,1267.46544357082
2282.57707784512,332.503891249215,1288.48922659836
2284.71581777742,332.176796178688,1262.1838271751
2282.27502264501,338.136151296266,1267.91775966229
2284.15212970081,339.063360525075,1276.94754446434
2293.86452094851,336.082117248219,1272.08727418399
2302.29399540203,334.697578760829,1361.1543859611
2284.976183406,330.587353183093,1283.06969738966
2283.60160513121,331.43828197127,1268.85834967628
2281.90943008302,333.878545836523,1268.22676351792
2289.33728712283,330.177669289048,1267.73586279364
2284.68719319004,337.284674887188,1266.11450915213
2276.4584544014,338.442280989406,1294.32011711079
2279.72805080606,339.229218031644,1276.90677628152
2293.66260351186,328.987134759359,1308.93945711599
2281.78167206606,339.678706805885,1287.45095729907
2274.76743772567,335.944538775608,1295.06415946936
2279.26848967295,340.370063833619,1292.34841161578
2282.93085768163,336.723270188865,1265.44937496998
2285.39829701333,330.905401626745,1277.72267679428
2288.55149538489,331.723763639346,1262.39784139655
2292.33498976921,329.072334232363,1291.58992222524
2297.71424649452,335.192685442843,1279.03315165312
2275.65835219248,335.795356295758,1291.1515565369
2280.84211574969,333.900423123951,1272.2161267163
2283.65087443373,334.208590178601,1270.02144567516
2285.22554499014,336.124614753234,1263.06698827766
2279.43930215262,333.184660444783,1280.75918835654
2280.44860398688,333.641972555335,1276.82275444725
2283.00557244614,340.013722801441,1279.59482842277
2283.55819433982,332.735850195904,1290.34010446981
2288.37956189155,330.102797133748,1300.21634709629
2275.50097103127,334.873683806534,1284.4189168896
2284.39485559115,331.110723926804,1283.4791623254
2284.42139481738,331.74556219822,1305.21328087
2281.7963119152,338.979526301864,1342.07460540107
2283.44616912638,331.758214081449,1278.35610537532
2275.57870682046,335.843184909042,1275.30587309646
